"epoch","deny_7 - _step","deny_7 - _step__MIN","deny_7 - _step__MAX","deny_7 - accuracy","deny_7 - accuracy__MIN","deny_7 - accuracy__MAX","deny_5 - _step","deny_5 - _step__MIN","deny_5 - _step__MAX","deny_5 - accuracy","deny_5 - accuracy__MIN","deny_5 - accuracy__MAX","deny_2 - _step","deny_2 - _step__MIN","deny_2 - _step__MAX","deny_2 - accuracy","deny_2 - accuracy__MIN","deny_2 - accuracy__MAX","deny_1 - _step","deny_1 - _step__MIN","deny_1 - _step__MAX","deny_1 - accuracy","deny_1 - accuracy__MIN","deny_1 - accuracy__MAX","deny_3 - _step","deny_3 - _step__MIN","deny_3 - _step__MAX","deny_3 - accuracy","deny_3 - accuracy__MIN","deny_3 - accuracy__MAX"
"3","0","0","0","0.5034005045890808","0.5034005045890808","0.5034005045890808","0","0","0","0.4965994954109192","0.4965994954109192","0.4965994954109192","0","0","0","0.4965994954109192","0.4965994954109192","0.4965994954109192","0","0","0","0.5965129137039185","0.5965129137039185","0.5965129137039185","0","0","0","0.4965994954109192","0.4965994954109192","0.4965994954109192"
"4","1","1","1","0.8993446230888367","0.8993446230888367","0.8993446230888367","1","1","1","0.869543731212616","0.869543731212616","0.869543731212616","1","1","1","0.9104735851287842","0.9104735851287842","0.9104735851287842","1","1","1","0.8922962546348572","0.8922962546348572","0.8922962546348572","1","1","1","0.9246939420700073","0.9246939420700073","0.9246939420700073"
"5","2","2","2","0.9302584528923035","0.9302584528923035","0.9302584528923035","2","2","2","0.8976134657859802","0.8976134657859802","0.8976134657859802","2","2","2","0.9290218949317932","0.9290218949317932","0.9290218949317932","2","2","2","0.914430558681488","0.914430558681488","0.914430558681488","2","2","2","0.9291455149650574","0.9291455149650574","0.9291455149650574"
"6","3","3","3","0.937183141708374","0.937183141708374","0.937183141708374","3","3","3","0.9401508569717407","0.9401508569717407","0.9401508569717407","3","3","3","0.941758394241333","0.941758394241333","0.941758394241333","3","3","3","0.9359465837478638","0.9359465837478638","0.9359465837478638","3","3","3","0.9395325779914856","0.9395325779914856","0.9395325779914856"
"7","4","4","4","0.9338444471359253","0.9338444471359253","0.9338444471359253","4","4","4","0.9468282461166382","0.9468282461166382","0.9468282461166382","4","4","4","0.941263735294342","0.941263735294342","0.941263735294342","4","4","4","0.927785336971283","0.927785336971283","0.927785336971283","4","4","4","0.946333646774292","0.946333646774292","0.946333646774292"
"8","5","5","5","0.9457153677940369","0.9457153677940369","0.9457153677940369","5","5","5","0.9173982739448547","0.9173982739448547","0.9173982739448547","5","5","5","0.9356992840766907","0.9356992840766907","0.9356992840766907","5","5","5","0.9358229041099548","0.9358229041099548","0.9358229041099548","5","5","5","0.9399035573005676","0.9399035573005676","0.9399035573005676"
"9","6","6","6","0.946333646774292","0.946333646774292","0.946333646774292","6","6","6","0.941758394241333","0.941758394241333","0.941758394241333","6","6","6","0.9418820142745972","0.9418820142745972","0.9418820142745972","6","6","6","0.9432422518730164","0.9432422518730164","0.9432422518730164","6","6","6","0.9468282461166382","0.9468282461166382","0.9468282461166382"
"10","7","7","7","0.9448497295379639","0.9448497295379639","0.9448497295379639","7","7","7","0.9448497295379639","0.9448497295379639","0.9448497295379639","7","7","7","0.945838987827301","0.945838987827301","0.945838987827301","7","7","7","0.9448497295379639","0.9448497295379639","0.9448497295379639","7","7","7","0.9490540623664856","0.9490540623664856","0.9490540623664856"
"11","8","8","8","0.9452207088470459","0.9452207088470459","0.9452207088470459","8","8","8","0.9365648627281189","0.9365648627281189","0.9365648627281189","8","8","8","0.9433658719062805","0.9433658719062805","0.9433658719062805","8","8","8","0.9495486617088318","0.9495486617088318","0.9495486617088318","8","8","8","0.9501669406890869","0.9501669406890869","0.9501669406890869"
"12","9","9","9","0.9478175044059753","0.9478175044059753","0.9478175044059753","9","9","9","0.9496723413467407","0.9496723413467407","0.9496723413467407","9","9","9","0.9499196410179138","0.9499196410179138","0.9499196410179138","9","9","9","0.9457153677940369","0.9457153677940369","0.9457153677940369","9","9","9","0.9515271186828613","0.9515271186828613","0.9515271186828613"